symbol,timestamp,price
BTCUSD,1609961550,35858
BTCUSD,1609961551,35858
BTCUSD,1609961552,35858.5
BTCUSD,1609961553,35858.5
BTCUSD,1609961554,35858
BTCUSD,1609961555,35860
BTCUSD,1609961556,35860
BTCUSD,1609961557,35860
BTCUSD,1609961558,35860
BTCUSD,1609961559,35860.5
BTCUSD,1609961560,35860.5
BTCUSD,1609961561,35860
BTCUSD,1609961562,35860
BTCUSD,1609961563,35860
BTCUSD,1609961564,35860
BTCUSD,1609961565,35860.5
BTCUSD,1609961566,35860.5
BTCUSD,1609961567,35860.5
BTCUSD,1609961568,35860.5
BTCUSD,1609961569,35859.5
BTCUSD,1609961570,35858
BTCUSD,1609961571,35855.5
BTCUSD,1609961572,35855.5
BTCUSD,1609961573,35854
BTCUSD,1609961574,35852
BTCUSD,1609961575,35830
BTCUSD,1609961576,35830
BTCUSD,1609961577,35830
BTCUSD,1609961578,35830
BTCUSD,1609961579,35830
BTCUSD,1609961580,35844
BTCUSD,1609961580,35844
BTCUSD,1609961581,35844.5
BTCUSD,1609961582,35844
BTCUSD,1609961583,35844.5
BTCUSD,1609961584,35844.5
BTCUSD,1609961585,35844.5
BTCUSD,1609961586,35844.5
BTCUSD,1609961587,35844.5
BTCUSD,1609961588,35844
BTCUSD,1609961589,35844.5
BTCUSD,1609961590,35844.5
BTCUSD,1609961591,35844.5
BTCUSD,1609961592,35844.5
BTCUSD,1609961593,35844.5
BTCUSD,1609961594,35844.5
BTCUSD,1609961595,35844
BTCUSD,1609961596,35844
BTCUSD,1609961597,35844
BTCUSD,1609961598,35844
BTCUSD,1609961599,35844
BTCUSD,1609961600,35844
BTCUSD,1609961601,35841.5
BTCUSD,1609961602,35829
BTCUSD,1609961603,35809
BTCUSD,1609961604,35800
BTCUSD,1609961605,35800
BTCUSD,1609961606,35800
BTCUSD,1609961607,35800
BTCUSD,1609961608,35800
BTCUSD,1609961609,35800
BTCUSD,1609961610,35800
BTCUSD,1609961610,35800
BTCUSD,1609961611,35800
BTCUSD,1609961612,35800
BTCUSD,1609961613,35800.5
BTCUSD,1609961614,35800
BTCUSD,1609961615,35800
BTCUSD,1609961616,35800
BTCUSD,1609961617,35800
BTCUSD,1609961618,35800
BTCUSD,1609961619,35800.5
BTCUSD,1609961620,35800
BTCUSD,1609961621,35800.5
BTCUSD,1609961622,35800.5
BTCUSD,1609961623,35800
BTCUSD,1609961624,35800
BTCUSD,1609961625,35800.5
BTCUSD,1609961626,35801.5
BTCUSD,1609961627,35801.5
BTCUSD,1609961628,35801.5
BTCUSD,1609961629,35806.5
BTCUSD,1609961630,35806.5
BTCUSD,1609961631,35806.5
BTCUSD,1609961632,35806
BTCUSD,1609961633,35806.5
BTCUSD,1609961634,35806
BTCUSD,1609961635,35801.5
BTCUSD,1609961636,35801.5
BTCUSD,1609961637,35763.5
BTCUSD,1609961638,35746.5
BTCUSD,1609961639,35746
BTCUSD,1609961640,35746.5
BTCUSD,1609961640,35746.5
BTCUSD,1609961641,35746.5
BTCUSD,1609961642,35746
BTCUSD,1609961643,35746.5
BTCUSD,1609961644,35746
BTCUSD,1609961645,35746.5
BTCUSD,1609961646,35732
BTCUSD,1609961647,35730.5
BTCUSD,1609961648,35731
BTCUSD,1609961649,35731
BTCUSD,1609961650,35730.5
BTCUSD,1609961651,35730
BTCUSD,1609961652,35725
BTCUSD,1609961653,35707
BTCUSD,1609961654,35692
BTCUSD,1609961655,35692
BTCUSD,1609961656,35666.5
BTCUSD,1609961657,35668.5
BTCUSD,1609961658,35673
BTCUSD,1609961659,35661
BTCUSD,1609961660,35657.5
BTCUSD,1609961661,35657
BTCUSD,1609961662,35657.5
BTCUSD,1609961663,35657.5
BTCUSD,1609961664,35658
BTCUSD,1609961665,35641
BTCUSD,1609961666,35648.5
BTCUSD,1609961667,35658.5
BTCUSD,1609961668,35668.5
BTCUSD,1609961669,35668.5
BTCUSD,1609961670,35668.5
